dataset,model,model_raw,seed,label,family,F_out,OutputGain,l_exp_mean,l_exp_median,l_exp_p75,l_exp_p90,l_exp_p95,l_exp_std,n_users,delta_l_exp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std,delta_F_out
ml1m,lightgcn,weighted_lightgcn,1,legacy_a0.4,legacy,0.7615747011649698,0.0257450331125826,0.8116917162268625,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.12207297701696396,6040,0.015275865241524578,0.0,0.0,0.0,0.0,-0.012294711094179109,0.025745033112582694
ml1m,lightgcn,weighted_lightgcn,1,legacy_a0.8,legacy,0.7418727144100028,0.0454470198675497,0.7986979707265829,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.13592349702836148,6040,0.02826961074180423,0.0,0.0,0.0,0.0,-0.026145231105576636,0.04544701986754973
ml1m,lightgcn,weighted_lightgcn,2,baseline,baseline,0.7881806614298705,0.0,0.8271329389360025,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.10973831856888869,6040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ml1m,lightgcn,weighted_lightgcn,2,kl_lam0.1,kl,0.7541574826219235,0.034023178807947,0.8009145307696017,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1392123860065192,6040,0.026218408166400753,0.0,0.0,0.0,0.0,-0.029474067437630508,0.03402317880794703
ml1m,lightgcn,weighted_lightgcn,2,kl_lam0.5,kl,0.7696872839464267,0.0184933774834438,0.8123184837349063,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1265942801995129,6040,0.014814455201096144,0.0,0.0,0.0,0.0,-0.016855961630624222,0.018493377483443818
ml1m,lightgcn,weighted_lightgcn,2,kl_lam2.0,kl,0.7782303303040425,0.0099503311258279,0.819916700461093,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11636575855241113,6040,0.0072162384749094866,0.0,0.0,0.0,0.0,-0.006627439983522443,0.009950331125827994
ml1m,lightgcn,weighted_lightgcn,2,kl_lam8.0,kl,0.7847203965292082,0.0034602649006623,0.8248657319158135,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11088069039274104,6040,0.0022672070201890104,0.0,0.0,0.0,0.0,-0.0011423718238523506,0.003460264900662313
ml1m,lightgcn,weighted_lightgcn,2,legacy_a0.1,legacy,0.781624370039142,0.0065562913907285,0.8230782821831615,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11221478922230103,6040,0.004054656752841002,0.0,0.0,0.0,0.0,-0.0024764706534123465,0.0065562913907285525
ml1m,lightgcn,weighted_lightgcn,2,legacy_a0.2,legacy,0.7759621183835128,0.0122185430463577,0.8194538121006079,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11485530866925876,6040,0.007679126835394623,0.0,0.0,0.0,0.0,-0.005116990100370075,0.012218543046357722
ml1m,lightgcn,weighted_lightgcn,2,legacy_a0.4,legacy,0.7628826481848373,0.0252980132450332,0.8115428033950446,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.12178215159944049,6040,0.015590135540957895,0.0,0.0,0.0,0.0,-0.012043833030551801,0.025298013245033224
ml1m,lightgcn,weighted_lightgcn,2,legacy_a0.8,legacy,0.7417568203702678,0.0464238410596027,0.7966294526017539,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.13767322303917465,6040,0.030503486334248597,0.0,0.0,0.0,0.0,-0.02793490447028596,0.04642384105960273
